Linux 6.4.0-150600.23.25-default (cm4r15c01s07) 	06/01/26 	_x86_64_	(224 CPU)

13:44:38      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
13:44:48    4432689         -     37013    7.40    0.80    0.00    0.00    8.20    57  |__openmp_worker
13:44:48    4432689         -     37014    7.40    0.60    0.00    0.00    8.00    65  |__openmp_worker
13:44:48        0         -     40284    0.00    0.20    0.00    0.00    0.20   162  |__kworker/162:0-events
13:44:48        0     89330         -    0.00    0.20    0.00    0.00    0.20    77  kworker/77:2-events
13:44:48        0         -     89599    0.00    0.20    0.00    0.00    0.20    82  |__kworker/82:1-events
13:44:48        0     99762         -    0.00    0.20    0.00    0.00    0.20    57  kworker/57:0-events
13:44:48        0         -    212065    0.00    0.20    0.00    0.00    0.20    59  |__kworker/59:0-events
13:44:48        0    216334         -    0.00    0.20    0.00    0.00    0.20    70  kworker/70:0-events
13:44:48        0    224095         -    0.00    0.20    0.00    0.00    0.20    72  kworker/72:0-events
13:44:48        0         -    224095    0.00    0.20    0.00    0.00    0.20    72  |__kworker/72:0-events

13:44:48      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
13:44:53        0        17         -    0.00    0.20    0.00    0.20    0.20    89  rcu_preempt
13:44:53        0         -        17    0.00    0.20    0.00    0.20    0.20    89  |__rcu_preempt
13:44:53        0        24         -    0.00    0.20    0.00    0.00    0.20     1  ksoftirqd/1
13:44:53        0       752         -    0.00    0.20    0.00    0.00    0.20   122  ksoftirqd/122
13:44:53        0         -      2717    0.00    0.20    0.00    0.00    0.20    71  |__kworker/71:2-events
13:44:53        0     14561         -    0.80    0.20    0.00    0.00    1.00   106  mmfsd
13:44:53        0         -     15267    0.20    0.00    0.00    0.00    0.20   166  |__mmfsd
13:44:53        0         -     15316    0.20    0.00    0.00    0.00    0.20    49  |__mmfsd
13:44:53        0         -     16076    0.20    0.00    0.00    0.00    0.20   160  |__mmfsd
13:44:53        0         -     16322    0.00    0.20    0.00    0.00    0.20   109  |__mmfsd
13:44:53        0         -     16323    0.00    0.20    0.00    0.00    0.20   108  |__mmfsd
13:44:53        0         -     17680    0.00    0.20    0.00    0.00    0.20    87  |__kworker/87:1-events
13:44:53        0     21213         -    0.20    0.00    0.00    0.00    0.20    22  kworker/22:1-events
13:44:53        0         -     21213    0.20    0.00    0.00    0.00    0.20    22  |__kworker/22:1-events
13:44:53        0     32452         -    0.00    0.20    0.00    0.00    0.20    73  kworker/73:1-events
13:44:53        0         -     33888    0.00    0.20    0.00    0.00    0.20   200  |__kworker/200:1-events
13:44:53        0     34785         -    0.00    0.20    0.00    0.20    0.20     8  kworker/8:2-events
13:44:53    4432689     36761         -    0.00    0.20    0.00    0.00    0.20   120  mpstat
13:44:53    4432689         -     36761    0.00    0.20    0.00    0.00    0.20   120  |__mpstat
13:44:53    4432689     36762         -    1.20    1.80    0.00    0.20    3.00   122  pidstat
13:44:53    4432689         -     36762    1.20    1.80    0.00    0.20    3.00   122  |__pidstat
13:44:53    4432689     36779         -    0.20    0.00    0.00    0.00    0.20   168  test_staggered.
13:44:53    4432689         -     36779    0.20    0.00    0.00    0.00    0.20   168  |__test_staggered.
13:44:53    4432689     36983         - 1871.00   14.80    0.00   45.60 1885.80    64  ft.C.x
13:44:53    4432689         -     36983   54.40    0.40    0.00   45.60   54.80    64  |__ft.C.x
13:44:53    4432689         -     36984   58.60    0.40    0.00   41.00   59.00    56  |__openmp_worker
13:44:53    4432689         -     36985   60.60    0.40    0.00   39.60   61.00    59  |__openmp_worker
13:44:53    4432689         -     36986   58.40    0.60    0.00   41.40   59.00    67  |__openmp_worker
13:44:53    4432689         -     36987   58.60    0.40    0.00   41.40   59.00    68  |__openmp_worker
13:44:53    4432689         -     36988   58.80    0.20    0.00   41.40   59.00    69  |__openmp_worker
13:44:53    4432689         -     36989   59.80    0.80    0.00   40.00   60.60    75  |__openmp_worker
13:44:53    4432689         -     36990   58.00    0.40    0.00   42.20   58.40    71  |__openmp_worker
13:44:53    4432689         -     36991   58.80    0.20    0.00   41.40   59.00    72  |__openmp_worker
13:44:53    4432689         -     36992   58.20    0.60    0.00   41.80   58.80    73  |__openmp_worker
13:44:53    4432689         -     36993   60.40    0.20    0.00   39.80   60.60    75  |__openmp_worker
13:44:53    4432689         -     36994   58.80    0.20    0.00   41.60   59.00    85  |__openmp_worker
13:44:53    4432689         -     36995   58.00    1.00    0.00   41.60   59.00    77  |__openmp_worker
13:44:53    4432689         -     36996   59.00    0.20    0.00   41.40   59.20    79  |__openmp_worker
13:44:53    4432689         -     36997   59.80    0.40    0.00   40.20   60.20    78  |__openmp_worker
13:44:53    4432689         -     36998   58.20    0.80    0.00   41.40   59.00    81  |__openmp_worker
13:44:53    4432689         -     36999   58.40    0.80    0.00   41.40   59.20    73  |__openmp_worker
13:44:53    4432689         -     37000   58.40    0.20    0.00   41.80   58.60    84  |__openmp_worker
13:44:53    4432689         -     37001   58.60    0.20    0.00   41.80   58.80    83  |__openmp_worker
13:44:53    4432689         -     37002   58.40    0.40    0.00   41.80   58.80    62  |__openmp_worker
13:44:53    4432689         -     37003   54.80    0.60    0.00   45.00   55.40    62  |__openmp_worker
13:44:53    4432689         -     37004   57.60    0.20    0.00   42.80   57.80    57  |__openmp_worker
13:44:53    4432689         -     37005   60.60    0.40    0.00   39.60   61.00    70  |__openmp_worker
13:44:53    4432689         -     37006   58.60    0.60    0.00   41.40   59.20    76  |__openmp_worker
13:44:53    4432689         -     37007   57.80    0.80    0.00   42.20   58.60    63  |__openmp_worker
13:44:53    4432689         -     37008   59.60    0.80    0.00   40.20   60.40    64  |__openmp_worker
13:44:53    4432689         -     37009   57.20    0.40    0.00   42.80   57.60    58  |__openmp_worker
13:44:53    4432689         -     37010   58.60    0.40    0.00   41.40   59.00    74  |__openmp_worker
13:44:53    4432689         -     37011   58.60    0.40    0.00   41.40   59.00    77  |__openmp_worker
13:44:53    4432689         -     37012   58.60    0.60    0.00   41.60   59.20    60  |__openmp_worker
13:44:53    4432689         -     37013   57.80    0.60    0.00   42.00   58.40    76  |__openmp_worker
13:44:53    4432689         -     37014   58.80    0.40    0.00   41.40   59.20    65  |__openmp_worker
13:44:53    4432689     37023         - 1304.20   30.40    0.00   44.80 1334.60    72  ft.C.x
13:44:53    4432689         -     37023   41.40    0.80    0.00   44.80   42.20    72  |__ft.C.x
13:44:53    4432689         -     37026   40.80    0.40    0.00   45.40   41.20    63  |__openmp_worker
13:44:53    4432689         -     37027   38.40    1.00    0.00   44.60   39.40    78  |__openmp_worker
13:44:53    4432689         -     37028   39.20    0.60    0.00   44.40   39.80    86  |__openmp_worker
13:44:53    4432689         -     37029   39.20    0.60    0.00   44.40   39.80    56  |__openmp_worker
13:44:53    4432689         -     37030   40.80    0.60    0.00   42.60   41.40    79  |__openmp_worker
13:44:53    4432689         -     37031   39.80    1.00    0.00   43.60   40.80    66  |__openmp_worker
13:44:53    4432689         -     37032   41.20    1.00    0.00   42.20   42.20    61  |__openmp_worker
13:44:53    4432689         -     37033   41.00    0.80    0.00   44.80   41.80    74  |__openmp_worker
13:44:53    4432689         -     37034   40.20    0.80    0.00   45.40   41.00    56  |__openmp_worker
13:44:53    4432689         -     37035   41.20    1.00    0.00   44.00   42.20    70  |__openmp_worker
